area,zona,region,es_aprobado,uso_faenas,flag_tipo,similar_a,similitud_pct
CN-Bajo Hondo,Corredor norte,Golfo de California,False,6,,,
El Cochi,Las Barrancas- San Juanico,Pacífico,False,6,,,
Laguna media,San Ignacio,Pacífico,False,6,,,
El Mariscal,Guerrero Negro,Pacífico,False,5,,,
El Mezquital,Las Barrancas- San Juanico,Pacífico,False,5,,,
Afuera de San Roque,Pacífico norte,Pacífico,False,4,,,
Base,Las Barrancas- San Juanico,Pacífico,False,4,,,
CS-La Costa de San Francisquito,Corredor sur,Golfo de California,False,4,DUPLICADO_PROBABLE,CS-Costa de San Francisquito,95
Laguna Manuela,Guerrero Negro,Pacífico,False,3,,,
San Roque,Pacífico norte,Pacífico,False,1,,,
Area de Pesca,Zona de pesca,,False,0,,,
ND,ND,Golfo de California,False,0,,,
