nombre_comun,nombre_cientifico,es_aprobado,uso_capturas,uso_mediciones,uso_carnadas,uso_especie_objetivo,uso_total,flag_tipo,similar_a,similitud_pct,flag_cientifico,similar_cientifico,similitud_cientifico_pct
Calamar gigante,Pendiente,False,0,0,5,0,5,,,,DUPLICADO_EXACTO,Pendiente,100
Charchina,Pendiente,False,5,0,0,0,5,,,,DUPLICADO_EXACTO,Pendiente,100
Chihuil tianico,Pendiente,False,0,0,5,0,5,,,,DUPLICADO_EXACTO,Pendiente,100
Cojinuda,Pendiente,False,5,0,0,0,5,POSIBLE_DUPLICADO,Cornuda,80,DUPLICADO_EXACTO,Pendiente,100
Guitarra puntos azules,Rhinobatos glaucostigma,False,2,3,0,0,5,,,,,,
Pez ángel,Pomacanthus zonipectus,False,4,1,0,0,5,,,,,,
Puntitas,Pendiente,False,5,0,0,0,5,,,,DUPLICADO_EXACTO,Pendiente,100
Sardina monterrey y macarela,Pendiente,False,0,0,5,0,5,DUPLICADO_EXACTO,Macarela y Sardina monterrey,100,DUPLICADO_EXACTO,Pendiente,100
Tiburón tigre,Galeocerdo cuvier,False,5,0,0,0,5,,,,,,
Binita,Pendiente,False,0,0,4,0,4,POSIBLE_DUPLICADO,Bonita,83,DUPLICADO_EXACTO,Pendiente,100
Cabrilla chocolata,Pendiente,False,2,2,0,0,4,,,,DUPLICADO_EXACTO,Pendiente,100
cazón,Pendiente,False,4,0,0,0,4,DUPLICADO_EXACTO,Cazón,100,DUPLICADO_EXACTO,Pendiente,100
Chihuil,Pendiente,False,0,0,4,0,4,,,,DUPLICADO_EXACTO,Pendiente,100
Langostilla y macarela,Pleuroncodes planipes y Scomber japonicus,False,0,0,4,0,4,,,,,,
Micrófono,Labrisomus sp.,False,4,0,0,0,4,,,,,,
Sardina-calamar,Pendiente,False,0,0,4,0,4,DUPLICADO_PROBABLE,Sardina - calamar,94,DUPLICADO_EXACTO,Pendiente,100
Sardinas,Pendiente,False,0,0,4,0,4,DUPLICADO_PROBABLE,Sardina,93,DUPLICADO_EXACTO,Pendiente,100
Señorita,Halichoeres nicholsi,False,1,3,0,0,4,,,,,,
Suri,Pendiente,False,4,0,0,0,4,,,,DUPLICADO_EXACTO,Pendiente,100
Tiburón cristalino,Pendiente,False,4,0,0,0,4,,,,DUPLICADO_EXACTO,Pendiente,100
Zapatero,Pendiente,False,1,3,0,0,4,,,,DUPLICADO_EXACTO,Pendiente,100
Anchoveta,Cetengraulis mysticetus,False,0,0,3,0,3,,,,,,
bonita y sardina,Pendiente,False,0,0,3,0,3,DUPLICADO_EXACTO,Bonita y Sardina,100,DUPLICADO_EXACTO,Pendiente,100
Burro roncacho,Pomadasys leuciscus,False,3,0,0,0,3,,,,,,
Cabrilla Piedrera,Epinephelus labriformis,False,3,0,0,0,3,DUPLICADO_EXACTO,Cabrilla piedrera,100,,,
Camarón,Litopenaeus vannamei,False,0,0,3,0,3,DUPLICADO_EXACTO,Camaron,100,DUPLICADO_EXACTO,Litopenaeus vannamei,100
Canario rojo,Pendiente,False,0,3,0,0,3,,,,DUPLICADO_EXACTO,Pendiente,100
Carpa,Cyprinus carpio,False,0,3,0,0,3,,,,,,
Chile,Synodus scituliceps,False,0,3,0,0,3,,,,,,
Cornuda,Sphyrna sp,False,1,2,0,0,3,POSIBLE_DUPLICADO,Cojinuda,80,DUPLICADO_PROBABLE,Sphyrna sp.,95
Guitarra punteada,Pendiente,False,1,2,0,0,3,POSIBLE_DUPLICADO,Guitarra huesuda,79,DUPLICADO_EXACTO,Pendiente,100
Macarela y Sardina monterrey,Scomber japonicus Sardinops sagax,False,0,0,3,0,3,DUPLICADO_EXACTO,Sardina monterrey y macarela,100,DUPLICADO_EXACTO,Scomber japonicus Sardinops sagax,100
